Q2 Appeals,,,,,
Category,Accounts Disabled,Account Unbans,Appeals,% Appeals Granted,% of Accounts Who Submitted an Appeal
Child Safety,"532,498",293,"92,408",0.32%,17.35%
Deceptive Practices,"6,150",17,960,1.77%,15.61%
Exploitative and Unsolicited Content,"106,645",279,"11,099",2.51%,10.41%
Harassment and Bullying,"13,779",25,"4,410",0.57%,32.01%
Hateful Conduct,"5,719",8,"1,696",0.47%,29.66%
Identity and Authenticity,148,0,20,0.00%,13.51%
Misinformation,270,0,71,0.00%,26.30%
Platform Manipulation,"3,400",7,299,2.34%,8.79%
Regulated or Illegal Activities,"27,494",77,"4,609",1.67%,16.76%
Self-Harm Concerns,"2,495",1,590,0.17%,23.65%
Violent and Graphic Content,"15,630",24,"3,922",0.61%,25.09%
Violent Extremism,"12,531",2,"2,630",0.08%,20.99%
,,,,,
Total:,"726,759",733,"122,714",0.60%,16.89%
